file_size,user_u,system_u,user_s,system_s
1kb,00.001,00.002,00.002,00.001
1kb,00.001,00.000,00.002,00.000
1kb,00.002,00.000,00.002,00.000
1kb,00.001,00.000,00.000,00.002
1kb,00.002,00.000,00.001,00.000
32kb,00.001,00.000,00.000,00.002
32kb,00.001,00.000,00.000,00.002
32kb,00.001,00.000,00.002,00.000
32kb,00.001,00.000,00.002,00.000
32kb,00.001,00.000,00.001,00.001
1mb,00.002,00.000,00.004,00.000
1mb,00.002,00.000,00.003,00.000
1mb,00.002,00.000,00.000,00.004
1mb,00.002,00.000,00.000,00.004
1mb,00.000,00.002,00.000,00.005
32mb,00.003,00.007,00.000,00.060
32mb,00.003,00.007,00.000,00.053
32mb,00.001,00.010,00.004,00.048
32mb,00.000,00.011,00.000,00.049
32mb,00.003,00.005,00.004,00.049
1gb,00.001,00.331,00.012,01.259
1gb,00.001,00.193,00.008,01.288
1gb,00.001,00.418,00.008,01.255
1gb,00.001,00.338,00.008,01.243
1gb,00.005,00.436,00.004,01.233
