file_size,user_u,system_u,user_s,system_s
smallfiles_dir,0.011,0.084,0.020,0.115
smallfiles_dir,0.008,0.069,0.024,0.104
smallfiles_dir,0.012,0.067,0.025,0.101
smallfiles_dir,0.019,0.063,0.018,0.134
smallfiles_dir,0.006,0.086,0.025,0.125
mediumfiles_dir,0.014,0.270,0.033,1.383
mediumfiles_dir,0.013,0.272,0.037,1.398
mediumfiles_dir,0.026,0.266,0.035,1.406
mediumfiles_dir,0.024,0.249,0.042,1.432
mediumfiles_dir,0.017,0.276,0.050,1.374
largefiles_dir,0.001,0.069,0.012,1.449
largefiles_dir,0.001,0.184,0.000,1.428
largefiles_dir,0.001,0.169,0.016,1.324
largefiles_dir,0.004,0.163,0.032,1.339
largefiles_dir,0.000,0.178,0.004,1.347
mixfiles_dir,0.005,0.132,0.072,4.443
mixfiles_dir,0.005,0.346,0.036,2.186
mixfiles_dir,0.004,0.299,0.010,2.172
mixfiles_dir,0.004,0.343,0.016,2.197
mixfiles_dir,0.001,0.337,0.029,2.162
